Timestamp,Primeira escolha,Segunda escolha,Terceira escolha,Email Address
9/23/2024 22:31:13,Candidato 1,Candidato 3,Candidato 3,
9/23/2024 22:32:57,Candidato 3,Candidato 3,Candidato 3,
9/23/2024 22:36:41,Candidato 2,Candidato 3,Candidato 3,
9/23/2024 22:36:53,Candidato 2,Candidato 4,Candidato 3,
9/23/2024 23:03:31,Candidato 2,Candidato 2,Candidato 4,
9/23/2024 23:04:02,Candidato 2,Candidato 2,Candidato 4,
9/23/2024 23:06:29,Candidato 5,Candidato 5,Candidato 5,
9/23/2024 23:06:39,Candidato 5,Candidato 5,Candidato 5,
9/23/2024 23:06:46,Candidato 5,Candidato 5,Candidato 5,
9/23/2024 23:06:54,Candidato 5,Candidato 5,Candidato 5,
